ID,exerciseName,pos1,pos2,pos3,pos4,videolink,audioLink
11,Jackknife sit-up,Lie supine (on your back) on the floor with your legs straight and your arms by your sides.,0,0,0,https://i.imgur.com/yaVOV6s.mp4,https://od.lk/s/NzVfMzI5OTEwMjhf/11.mp3
12,Sit-up,Lie supine (on your back) on a mat with your hips and knees flexed and your feet flat on the floor.,Place your hands behind your head.,0,0,https://i.imgur.com/i8GNraz.mp4,https://od.lk/s/NzVfMzI5OTEwMjdf/12.mp3
13,Decline sit-up,Lie supine (on your back) on a declined bench and hook your feet under the foot pads.,"Either extend your arms straight up into the air, cross them over your chest, or place them behind your head.",Press your lower back against the bench.,0,https://i.imgur.com/c2AKk1u.mp4,https://od.lk/s/NzVfMzI5OTEwMTdf/13.mp3
14,Front plank,Get down on all fours on a mat.,"Gently lower your upper body onto your elbows, extend your feet backward, and straighten your body."," Your feet should be close together, your elbows should be directly under your shoulders, and your rigid body should be being supported by your forearms and toes.",0,https://i.imgur.com/AYbu1Ix.mp4,https://od.lk/s/NzVfMzI5OTEwMDFf/14.mp3
15,Weighted front plank, Get down on your hands and knees on the floor.,"Lower your elbows onto the floor, extend your feet backward, and straighten your body. ",Your shoulders should be directly above your elbows and your feet should be close together. This is the front plank position., Have your spotter place a weight plate on your back.,https://i.imgur.com/YBEwSjB.mp4,https://od.lk/s/NzVfMzI5OTA5OTJf/15.mp3
16,Crunch,Lie supine (on your back) with your legs bent and your feet flat on the ground.,"Place your hands lightly either behind or by the sides of your head, keeping your elbows out.",0,0,https://i.imgur.com/R1Tbb7P.mp4,https://od.lk/s/NzVfMzI5OTA5OTBf/16.mp3
17,Reverse crunch,Lie supine (on your back) on the floor with your feet together.,"Place your hands alongside your body, with your palms flat on the floor.",Lift your legs a little off the floor and bend your knees 90 degrees.,"To support your lower back, press it against the floor.",https://i.imgur.com/HYqPO6o.mp4,https://od.lk/s/NzVfMzI5OTA5ODlf/17.mp3
18,Vertical leg crunch,Lie supine (on your back) with your lower back pressed against the floor.,Raise your arms and legs straight up into the air.,0,0,https://i.imgur.com/K9QwTPS.mp4,https://od.lk/s/NzVfMzI5OTA5ODhf/18.mp3
19,Flat bench hyperextension,"Lie prone (on your front) on a flat bench with your torso extending off the end, and hook your heels under the bench to prevent yourself from falling forward. ",The end of the bench should be level with your hips to allow room for your hips to flex.,"Place your hands behind your back or head, or cross them over your chest.",0,https://i.imgur.com/ofTQTBx.mp4,https://od.lk/s/NzVfMzI5OTA5ODdf/19.mp3
20,High bird dog plank,"Get on your hands and knees, with your hands directly under your shoulders.","Extend your feet backwards, position them shoulder-width apart, and straighten your body.",0,0,https://i.imgur.com/6ytglKs.mp4,https://od.lk/s/NzVfMzI5OTA5ODZf/20.mp3
21,V-up,Lie supine (on your back) on the floor with your legs straight and your arms held straight by the sides of your head.,0,0,0,https://i.imgur.com/xVNYh3y.mp4,https://od.lk/s/NzVfMzI5OTA5NzFf/21.mp3
22,Standing two-Arm dumbbell kickback,"Holding a dumbbell in each hand using a neutral grip (palms facing your body), hinge at the hips to bring your torso forward until it is parallel with the floor.", Your knees should be slightly bent and your back and neck should be neutral.,Tuck your elbows into the sides of your torso. ,"Your upper arms should also be parallel with the floor, while your forearms should perpendicular to your upper arms (i.e. there should be a 90-degree angle at the elbow).",https://i.imgur.com/W376niM.mp4,https://od.lk/s/NzVfMzI5OTA5NjNf/22.mp3
23,Machine triceps dip,Sit on the triceps dip machine with your back against the pad.,"If possible, position the levers of the machine as close to your body as possible.",Grasp the levers.,0,https://i.imgur.com/5lW5Y4r.mp4,https://od.lk/s/NzVfMzI5OTA5NjJf/23.mp3
24,Chest dip,Mount a wide dip bar using an oblique grip (the bar should run diagonally across your palms).,"Straighten your elbows, lean forward, and flex your hips and knees slightly.",0,0,https://i.imgur.com/BMdqsbV.mp4,https://od.lk/s/NzVfMzI5OTA5NTlf/24.mp3
25,Machine-assisted chest dip,"Set the pin to your desired weight (the heavier the weight is, the more assistance it will provide).","Mount the assisted dip machine, holding the dip bars using an oblique grip (the bar should run diagonally across your palms).",Lean forward.,0,https://i.imgur.com/5lW5Y4r.mp4,https://od.lk/s/NzVfMzI5OTA5NTNf/25.mp3
26,Cable reverse wrist curl,Attach a straight bar to a low cable pulley.,Place a bench next to the pulley and sit facing it.,Grasp the straight bar using a shoulder-width pronated grip (palms facing downward).,0,https://i.imgur.com/Hkg0W0y.mp4,https://od.lk/s/NzVfMzI5OTA5NDVf/26.mp3
27,Barbell reverse wrist curl over bench,"Holding a barbell with an overhand grip, kneel on the floor with your elbows and forearms placed on a flat bench in front of you.",Let your wrists hang off the edge of the flat bench.,0,0,https://i.imgur.com/K1P8weQ.mp4,https://od.lk/s/NzVfMzI5OTA5Mzlf/27.mp3
28,Cable reverse preacher curl,Position a preacher bench so that it faces a cable machine.,Grasp the straight bar of the cable machine with an overhand (pronated) grip and sit on the preacher bench.,"Rest your upper arms on the padded surface, in line with your shoulders.",0,https://i.imgur.com/uYPG8qn.mp4,https://od.lk/s/NzVfMzI5OTA5MjVf/28.mp3
29,Dumbbell one-Arm reverse preacher curl,"Holding a dumbbell in one hand, sit on the preacher bench with the back of your upper arm flat on the arm rest and your elbow flexed.",Rotate your wrist so that your palm faces away from you (pronation).,0,0,https://i.imgur.com/Dnnsrhc.mp4,https://od.lk/s/NzVfMzI5OTA5MjNf/29.mp3
30,Close-grip EZ bar curl,"Stand holding an EZ-curl bar using a close supinated grip (hands closer than shoulder width apart and palms facing upward). Your elbows should be almost fully extended, and the bar should be resting against your thighs.",0,0,0,https://i.imgur.com/0iB1b6Y.mp4,https://od.lk/s/NzVfMzI5OTA5MTFf/30.mp3
31,Lying high cable curl,"Holding a dumbbell in one hand, sit on the preacher bench with the back of your upper arm flat on the arm rest and your elbow flexed.",Rotate your wrist so that your palm faces away from you (pronation).,0,0,https://i.imgur.com/gvVOf9J.mp4,https://od.lk/s/NzVfMzI5OTA5MDFf/31.mp3
32,Biceps leg curl,"Stand holding an EZ-curl bar using a close supinated grip (hands closer than shoulder width apart and palms facing upward). Your elbows should be almost fully extended, and the bar should be resting against your thighs.",0,0,0,https://i.imgur.com/VaVm9hC.mp4,https://od.lk/s/NzVfMzI5OTA4Njlf/32.mp3
33,Side-lying biceps bodyweight curl,Place a bench under a high cable pulley.,Lie on the bench so that your face is positioned under the straight bar.,Grasp the bar using a shoulder-width supinated (underhand) grip. The cable should be taut and your arms should be almost fully extended.,0,https://i.imgur.com/JrMoJdy.mp4,https://od.lk/s/NzVfMzI5OTA4NTZf/33.mp3
34,Kneeling bodyweight triceps extension,Sit on the edge of a chair so that only your buttocks rest on the seat. Your knees should be bent.,"With your right hand, grasp your left leg from under the knee.",0,0,https://i.imgur.com/S0XjzRA.mp4,https://od.lk/s/NzVfMzI5OTA4NTRf/34.mp3
35,Barbell skull crusher,"Lie on your left side with your hips and knees flexed, and with a cushion under your elbow.","With your left hand, grasp your left thigh under the knee.",Place your right hand behind your head.,0,https://i.imgur.com/jpxTtk7.mp4,https://od.lk/s/NzVfMzI5OTA4NDZf/35.mp3
36,Barbell rear delt row,"Get on your hands and knees, with hands shoulder-width apart.","Lower your elbows to the floor, shoulder-width apart.",Lean forward so that your bodyweight is supported by your elbows.,0,https://i.imgur.com/LrFc6Hz.mp4,https://od.lk/s/NzVfMzI5OTA4MjZf/36.mp3
37,Cable face pull,Sit on the triceps extension machine.,"Grasp the handles of the machine and place your uppers arms flat on the arm pad, with your elbows lining up with the axis of rotation of the machine.",0,0,https://i.imgur.com/OaZGSXJ.mp4,https://od.lk/s/NzVfMzI5OTA4MDlf/37.mp3
38,Plate front raise,Lie on your back (supine) on a flat bench.,"Dismount the barbell using a pronated (overhand), shoulder-width grip and hold the barbell over your forehead so that your arms are slightly slanted backwards.",0,0,https://i.imgur.com/9phcucW.mp4,https://od.lk/s/NzVfMzI5OTA4MDNf/38.mp3
39,Seated dumbbell front raise,Stand holding a barbell with a wide overhand (pronated) grip.,"Flex your hips and knees until your torso is horizontal, and allow the barbell to hang straight down.",0,0,https://i.imgur.com/0Xhza3y.mp4,https://od.lk/s/NzVfMzI5OTA3OTZf/39.mp3
40,Dumbbell w-press,Stand in front of a pulley set at approximately head height.,Grasp one end of the rope attachment in each hand using a supinated (underhand) grip.,Step backward so that the rope is taut and your arms are stretched out in front of you.,Assume a staggered stance (place one foot in front of the other) and lean backward to help you balance.,https://i.imgur.com/VgBtuEV.mp4,https://od.lk/s/NzVfMzI5OTA3ODdf/40.mp3
41,Bent-over barbell reverse raise,"Stand up straight, holding a weight plate in front of your thighs with both hands. Your hands should be at the three and nine o’clock positions.",0,0,0,https://i.imgur.com/EedhwOt.mp4,https://od.lk/s/NzVfMzI5OTA3ODNf/41.mp3
42,Seated alternating dumbbell front raise,"Holding a dumbbell in each hand, sit on a chair or bench and allow the dumbbells to hang straight down by your sides.",0,0,0,https://i.imgur.com/b7NZomT.mp4,https://od.lk/s/NzVfMzI5OTA3Nzlf/42.mp3
43,Dumbbell lying external shoulder rotation,"With a dumbbell in each hand, stand with your arms in a ‘W’ position.",0,0,0,https://i.imgur.com/O0osnrR.mp4,https://od.lk/s/NzVfMzI5OTA3NzBf/43.mp3
44,Reverse dumbbell fly,"Stand with a loaded barbell behind your feet, on the floor.",Squat and pick up the barbell so that you are holding it behind your back.,Flex your hips and knees until either your torso is horizontal or you feel a mild stretch in your hamstrings. The barbell should be resting on your calves.,0,https://i.imgur.com/yV8mlaI.mp4,https://od.lk/s/NzVfMzI5OTA3Njhf/44.mp3
45,Cable one-Arm front raise,"Holding a dumbbell in each hand, sit on the edge of a bench.",Position the dumbbells by your sides.,0,0,https://i.imgur.com/hpUPvQ7.mp4,https://od.lk/s/NzVfMzI5OTA3NjFf/45.mp3
46,Prone incline wide-grip upright row,"Lie on your side, either supporting your upper body on your elbow and forearm, resting your head in your hand, or even resting your head on a pillow.","Grasp a dumbbell with your free hand, bend your elbow to a 90-degree angle, rest your elbow against your side, and lower your forearm across your belly.",0,0,https://i.imgur.com/bUOLFWZ.mp4,https://od.lk/s/NzVfMzI5OTA3NTlf/46.mp3
47,Head-supported reverse dumbbell fly,"Holding a dumbbell in each hand, bend at the hips and knees until your torso is parallel to the floor. Your back should be straight and your arms should be hanging in front of you, with your palms facing inwards (neutral grip).",0,0,0,https://i.imgur.com/Werx1fz.mp4,https://od.lk/s/NzVfMzI5OTA3NTZf/47.mp3
48,Back extension on stability ball,Attach a stirrup (handle) to a low cable pulley.,Grasp the stirrup with one hand and step forward until the cable is pulled taut and your arm is left by your side and a little behind you.,"For balance, stagger your feet. The foot in front should be the one that is opposite to your working arm.",0,https://i.imgur.com/jQ0X5st.mp4,https://od.lk/s/NzVfMzI5OTA3NTNf/48.mp3
49,Dumbbell renegade row,"Holding a loaded barbell with a shoulder-width, pronated (overhand) grip, lie prone (on your front) on a bench inclined at 45 or more degrees and allow the barbell to hang straight down.",0,0,0,https://i.imgur.com/69F1gTF.mp4,https://od.lk/s/NzVfMzI5OTA3NDdf/49.mp3
50,Side-lying reverse dumbbell fly,Raise a bench to hip height.,Grasp a dumbbell in each hand and stand behind the bench.,"Flex your hips and rest your forehead on the edge of the bench. Your back should be straight, your torso should be horizontal, and your arms should be hanging straight down in front of you, with your palms facing inward (neutral or hammer grip).",0,https://i.imgur.com/dB9QvX7.mp4,https://od.lk/s/NzVfMzI5OTA3NDRf/50.mp3
51,Straight-back underhand cable row,"Grasp a pull-up bar using an underhand grip, with your hands shoulder-width apart.",Hang from the bar,0,0,https://i.imgur.com/AgfGWPj.mp4,https://od.lk/s/NzVfMzI5OTA3Mzlf/51.mp3
52,Dumbbell wide-grip upright row,Lie prone (on your front) on a stability ball.,Place your hands behind your head.,"For stability, spread your feet out. You can also place the soles of your feet against a wall.",0,https://i.imgur.com/2dpYckY.mp4,https://od.lk/s/NzVfMzI5OTA3MzZf/52.mp3
53,Weighted stability ball side bend,"Holding a dumbbell in each hand, assume a high plank position (i.e. get on all fours and then straightening your legs and body). The dumbbells should be shoulder-width apart.",0,0,0,https://i.imgur.com/inki1TG.mp4,https://od.lk/s/NzVfMzI5OTA3MzJf/53.mp3
54,Superman push-up,Wrap a loaded dip belt around your waist securely. The weight plate should be hanging between your legs when you stand.,Grasp the bar with an overhand (pronated) grip that is a little wider than shoulder width.,"Hang from the bar, with your arms and shoulders fully extended.",0,https://i.imgur.com/72J2RDI.mp4,https://od.lk/s/NzVfMzI5OTA3MzBf/54.mp3
55,Lying single straight-leg hip extension,"Lie on the floor, on your right side, with a dumbbell in front of you and with your head being supported by your right hand.",Grasp the dumbbell with your left hand using a neutral grip (palm facing downward). Your elbow should be either straight or slightly flexed.,0,0,https://i.imgur.com/qrq3nC8.mp4,https://od.lk/s/NzVfMzI5OTA3MjBf/55.mp3
56,Barbell split squat,Sit on the cable machine and grasp the straight bar using a shoulder-width supinated (underhand) grip.,"Slide your buttocks backward and straighten your back. The cable should be pulled taut, and your arms and shoulders should be stretching forward.",0,0,https://i.imgur.com/XtpkEiH.mp4,https://od.lk/s/NzVfMzI5OTA3MThf/56.mp3
57,Lunge,Grasp a dumbbell in each hand and stand upright.,Pronate your wrists so that your palms face your thighs. The dumbbells should be being held at either shoulder width or wider.,Pull your shoulders back and stick out your chest.,0,https://i.imgur.com/vGL50yw.mp4,https://od.lk/s/NzVfMzI5OTA3MTZf/57.mp3
58,Stability ball leg curl,"Lie on a stability ball on your side, with the ball under your lower waist and hip.","For stability, extend your legs and position one in front of the other.",Hold a weight plate with both hands either on top of or behind your head.,Allow your upper body to bend over the surface of the ball.,https://i.imgur.com/azAj0ss.mp4,https://od.lk/s/NzVfMzI5OTA3MTRf/58.mp3
59,Side plank hip abduction,Lie prone (on your front) on the floor with your arms extended forward and your palms flat on the floor. This is the superman position.,0,0,0,https://i.imgur.com/rdU3SBf.mp4,https://od.lk/s/NzVfMzI5OTA3MTJf/59.mp3
60,Jump squat,Lie supine (on your back) on the floor with your arms and legs straight and heels resting on a bench.,Spread your arms out to the sides for stability.,Raise your left heel off the bench.,0,https://i.imgur.com/vYGLKKn.mp4,https://od.lk/s/NzVfMzI5OTA3MTFf/60.mp3
61,Dumbbell forward-leaning lunge,"Stand with a barbell on the back of your shoulders, grasping it at the sides with both hands.","Step one foot back as if performing a rear lunge. The distance between your front and back feet (step length) should be such that when you lower your back knee, you are in a half-kneeling position.",0,0,https://i.imgur.com/sxHFYCT.mp4,https://od.lk/s/NzVfMzI5OTA2OTJf/61.mp3
62,Bicycle crunch,Stand straight with your hands either by your sides or placed on your hips.,0,0,0,https://i.imgur.com/SUEeXmr.mp4,https://od.lk/s/NzVfMzI5OTA2NThf/62.mp3
63,Bodyweight sumo squat,Lie supine (on your back) on the floor with your lower legs on a stability ball.,Extend your arms out to your sides for balance and support.,Raise your hips and lower back off the floor so that your body is straight.,0,https://i.imgur.com/STVvFsD.mp4,https://od.lk/s/NzVfMzI5OTA2NTdf/63.mp3
64,Lying alternating straight leg raise,"Lie on the floor, on your left side, supporting your body weight on your left elbow, which should be directly under your shoulder.","Straighten your body and legs. Your feet should be together, and your hip should be resting on the floor.",Place your free hand on your hip.,0,https://i.imgur.com/Nxfi2Jn.mp4,https://od.lk/s/NzVfMzI5OTA2NTZf/64.mp3
65,Hip thrust,Stand with your feet shoulder-width apart and your arms by your sides.,0,0,0,https://i.imgur.com/nPQfvRs.mp4,https://od.lk/s/NzVfMzI5OTA2NTRf/65.mp3
66,Step-up,Stand holding a dumbbell to each side.,0,0,0,https://i.imgur.com/VaVm9hC.mp4,https://od.lk/s/NzVfMzI5OTExMjZf/66.mp3
67,Decline dumbbell bench press,"Sit on the side of a bench, with your back straight, knees bent, and feet flat on the floor.",Place both palms on the edge of the bench.,Slide your buttocks off the bench.,"Raise your left arm and right leg straight out in front of you. Your bodyweight should be being supported by your right arm and left leg, with your knee bent at a 90-degree angle.",https://i.imgur.com/Ijun3fQ.mp4,https://od.lk/s/NzVfMzI5OTExMjVf/67.mp3
68,Incline cable bench press,Lie supine (on your back) with your legs straight.,Place your hands behind your head.,Raise your feet and upper back a little off the floor.,Press your lower back to the ground.,https://i.imgur.com/HYfvESz.mp4,https://od.lk/s/NzVfMzI5OTExMjNf/68.mp3
69,Machine-assisted triceps dip,Stand with your feet wider than shoulder-width apart.,Point your toes and knees 30 to 45 degrees out to the sides (sumo stance).,0,0,https://i.imgur.com/QNGnaq0.mp4,https://od.lk/s/NzVfMzI5OTExMjFf/69.mp3
70,Bent-knee bench dip,Lie supine (on your back) on a mat or a bench.,Place your hands under your buttocks to raise and support your pelvis.,Raise both legs a little off the floor or bench.,0,https://i.imgur.com/YGFALAA.mp4,https://od.lk/s/NzVfMzI5OTExMjBf/70.mp3
71,Lying cable fly,"Holding on to the handrails, safely step up onto the stairmill.",Click on ‘Start’ or select the workout you prefer to start the stairmill.,0,0,https://i.imgur.com/mKWTLty.mp4,https://od.lk/s/NzVfMzI5OTExMThf/71.mp3
72,Shoulder tap push-up,Sit on the floor with your upper back against the long side of a bench.,Bend your knees so that your feet are planted on the floor in front of you. They should be about shoulder-width apart,0,0,https://i.imgur.com/IXT8Euj.mp4,https://od.lk/s/NzVfMzI5OTExMTdf/72.mp3
73,Incline dumbbell fly,Stand with a box or bench in front of you.,0,0,0,https://i.imgur.com/f1AaaEp.mp4,https://od.lk/s/NzVfMzI5OTExMTVf/73.mp3
74,Spiderman push-up,Stand in the hyperextension bench with your thighs resting on the front pad. The pad must be below your hips so that your hips are free to move.,"Cross your hands over your chest, or position them behind your head.",0,0,https://i.imgur.com/HZDEsFi.mp4,https://od.lk/s/NzVfMzI5OTExMTRf/74.mp3
75,Barbell JM press,"With a dumbbell in each hand, sit on the end of a declined bench and rest the dumbbells on your knees. You can also get a training partner to hand you the dumbbells after you sit down.",Hook your feet securely under the foot pads.,"Lie supine (on your back) and position the dumbbells to the sides of your chest, with your wrists pronated (facing away from you). Your elbows should be flexed and tucked into your sides a little.",0,https://i.imgur.com/RZZ95Lv.mp4,https://od.lk/s/NzVfMzI5OTExMTNf/75.mp3
76,Smith machine incline bench press,Place a bench inclined at 45 degrees between two low cable pulleys.,"Grasp both stirrups (handles) and lie supine (on your back) on the bench, with your feet flat on the floor.","Position the stirrups to the sides of your chest, with your elbows flexed and tucked into your body a little.",0,https://i.imgur.com/ei2qhjR.mp4,https://od.lk/s/NzVfMzI5OTExMTJf/76.mp3
77,Incline push-up,Kneel onto the knee pad of the assisted triceps dip machine and grasp the shoulder-width bars.,0,0,0,https://i.imgur.com/9AoyQv0.mp4,https://od.lk/s/NzVfMzI5OTExMTFf/77.mp3
78,Side push-up,"Lie on your left side on the floor, with your hips straight and your knees bent at a ninety-degree angle.",Wrap your left arm around your waist to keep it out of the way.,"Place your right hand on the floor, in front of your left shoulder.",0,https://i.imgur.com/PJxGjWd.mp4,https://od.lk/s/NzVfMzI5OTExMTBf/78.mp3
79,Incline dumbbell press on a stability ball,Place a flat bench between two low cable pulleys.,"Grasp the stirrup (handle) of each pulley and lie supine (on your back) between the two pulleys, with your arms extended out to your sides.","Flex your elbows slightly, and internally rotate your shoulders so that your elbows point out to the sides.",Arch your back and stick out your chest.,https://i.imgur.com/Pu74dXu.mp4,https://od.lk/s/NzVfMzI5OTExMDlf/79.mp3
80,Wide reverse-grip barbell bench press,"Get on your hands and knees, with your hands positioned a little wider than shoulder-width apart.",Extend your feet backwards and straighten your body.,0,0,https://i.imgur.com/bZiMJFA.mp4,https://od.lk/s/NzVfMzI5OTExMDZf/80.mp3
81,Dumbbell fly on a stability ball,"Holding a dumbbell in each hand, sit on a bench inclined at 45 degrees and rest each dumbbell on a knee.","Lie backward, and as you do so, kick the dumbbells up into position over your chest, one at a time.",Spread your legs and plant your feet flat on the floor.,"Flex your elbows slightly, and internally rotate your shoulders so that your elbows point out to the sides.",https://i.imgur.com/mn8Hlj5.mp4,https://od.lk/s/NzVfMzI5OTExMDVf/81.mp3
82,Dumbbell fly,"Get on your hands and knees, with your hands positioned a little wider than shoulder width apart.",Extend your feet backwards and straighten your body so that your bodyweight is being supported by your hands and toes.,0,0,https://i.imgur.com/wqCdwV7.mp4,https://od.lk/s/NzVfMzI5OTExMDRf/82.mp3
83,Incline dumbbell bench press,"Lie supine (on your back) on a flat bench, spread your legs, and plant your feet flat on the floor for stability.",Dismount the barbell using a shoulder-width grip.,0,0,https://i.imgur.com/8G7AZ6S.mp4,https://od.lk/s/NzVfMzI5OTExMDNf/83.mp3
84,Cable side bend,Place a bench that is inclined at 45 degrees under the bar of the Smith machine.,Secure the safety pins of the Smith machine to prevent the bar from being able to drop too low and injure you.,1. Sit in position and grasp the bar using a pronated (overhand) grip that’s a little wider than shoulder width.,Plant your feet flat on the floor and unlatch the bar from the rail by rotating it.,https://i.imgur.com/1bOywAV.mp4,https://od.lk/s/NzVfMzI5OTExMDFf/84.mp3
85,Frog crunch,"Lie supine (on your back) on the floor with your hands either lightly behind your head, touching your temple, crossed over your chest or resting on your abdomen.",Flex your knees and position the soles of your feet together so that your legs are wide open and your knees are pointing out to the sides.,Allow your legs to relax in this position.,"To protect your lower back, press it down against the floor.",https://i.imgur.com/H39RkWn.mp4,https://od.lk/s/NzVfMzI5OTExMDBf/85.mp3
86,Crunch with stability ball leg raise,"Lie on your left side on the floor, with your hips straight and your knees bent at a ninety-degree angle.",Wrap your left arm around your waist to keep it out of the way.,"1. Place your right hand on the floor, in front of your left shoulder.",0,https://i.imgur.com/Wu8vqV8.mp4,https://od.lk/s/NzVfMzI5OTEwOTlf/86.mp3
87,Seated cable cross-Arm twist,Sit on a stability ball with a dumbbell in each hand.,Roll your butt down and out until your torso forms a 45-degree angle with the floor. Your back should be resting against the stability ball.,Spread your legs and place your feet flat on the floor.,"Position the dumbbells to the sides of your chest, with your elbows bent and tucked in to your body a little.",https://i.imgur.com/7Jwlasr.mp4,https://od.lk/s/NzVfMzI5OTEwOThf/87.mp3
88,Cable Russian twist on a stability ball,Lie supine (on your back) on a flat bench and plant your feet firmly on the ground.,Grasp the bar with a wide reverse grip (palms facing you) and unrack the barbell.,0,0,https://i.imgur.com/wYQh3kB.mp4,https://od.lk/s/NzVfMzI5OTEwOTRf/88.mp3
89,Captainâ€™s chair straight leg raise,Sit on a stability ball with a dumbbell in each hand.,Roll down and out until your upper back is on the ball and your torso is parallel with the floor.,Raise the dumbbells up so that they are over your chest.,"Firmly plant your feet on the floor for balance and bend your elbows a little, and internally rotate your shoulders so that your elbows point out to the sides.",https://i.imgur.com/lcp7sGF.mp4,https://od.lk/s/NzVfMzI5OTEwOTNf/89.mp3
90,Seated dumbbell one-Arm shoulder press,"Holding a pair of dumbbells, sit on a flat bench and rest the dumbbells on your knees.","Lie back on the bench and, as you do so, kick the dumbbells up into position over your chest, one at a time.",Spread your legs and plant your feet flat on the floor.,"Bend your elbows a little, and internally rotate your shoulders so that your elbows point out to the sides.Arch your back and stick out your chest.",https://i.imgur.com/yVxyw9g.mp4,https://od.lk/s/NzVfMzI5OTEwOTFf/90.mp3
91,Elevated pike press,"Holding a dumbbell in each hand, sit on a bench inclined at 45 degrees and rest one dumbbell on each knee.","As you lie back on the bench, kick the dumbbells up, one at a time, into place.","Position the dumbbells to the sides of your chest, with your elbows bent and tucked in to your torso a little.",Straighten your wrists.Spread your legs and place your feet flat on the floor.,https://i.imgur.com/bQ0s6Ib.mp4,https://od.lk/s/NzVfMzI5OTEwOTBf/91.mp3
92,Pike press,"Using an overhand grip, hang from a high bar with a medicine ball or dumbbell between your feet.",0,0,0,https://i.imgur.com/j3fOUwy.mp4,https://od.lk/s/NzVfMzI5OTEwODlf/92.mp3
93,Bent-knee inverted rear delt row,Attach a stirrup (handle) to a low cable pulley.,"Grasp the stirrup with your right hand and stand with the pulley to your right side. Your torso should be laterally flexed (bent sideways) towards the pulley, and your arm should be straight and close to your body.",0,0,https://i.imgur.com/VLGuDMn.mp4,https://od.lk/s/NzVfMzI5OTEwODhf/93.mp3
94,Barbell front raise,"Lie supine (on your back) on the floor with your hands either lightly behind your head, touching your temple, crossed over your chest or resting on your abdomen.",Flex your knees and position the soles of your feet together so that your legs are wide open and your knees are pointing out to the sides.,Allow your legs to relax in this position.,"To protect your lower back, press it down against the floor.",https://i.imgur.com/smxmD4z.mp4,https://od.lk/s/NzVfMzI5OTEwODdf/94.mp3
95,Cable Y-raise,Hang from a bar using a shoulder-width pronated (overhand) grip.,Straighten your lower back so that there is as little of an arch in your lower back as possible.,0,0,https://i.imgur.com/lEDuuHN.mp4,https://od.lk/s/NzVfMzI5OTEwODZf/95.mp3
